Age,Sex,Race,Zip Code,# years in Zip Code,Living Arrangement,# of housing units,Communte to school (hours),Household income,Education,How often you spend\nleisure time with family,How often you spend leisure time with friends,How often you spend leisure time with neighbors,How often you spend leisure time with coworkers,# family members you spend time with regularly within 15 minutes (driving),# friends you spend time with regularly within 15 minutes (driving),# neighbors you spend time with regularly within 15 minutes (driving),#  coworkers you spend time with regularly within 15 minutes (driving),"Level of agreement with: ""I consider myself a social person""","Level of agreement with: ""When I have free time, I generally like to spend it with other people""","Level of agreement with: ""I feel like I have a strong social circle in my geographic proximity.""","Level of agreement with: ""The place where I live has a strong sense of community""","Level of agreement with: ""I am interested in being a part of or helping build community where I live.""","Level of agreement with: ""I would be sorry to move away from the people I spend time with here."""
81,Male,White (non-hispanic),38120,66,Living alone,5+,0,25,Four-year college,A few times a month,About once a month,Less often,Less often,4,1,0,0,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
80,Male,White (non-hispanic),8340,34,"With spouse, significant other, and/or children",1,0,119,Master's or post-graduate professional degree,About once a month,Less often,Less often,Less often,4,2,6,0,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree
78,Female,Black or African American,30337,15,"With spouse, significant other, and/or children",5+,0,47,Master's or post-graduate professional degree,Less often,A few times a month,Daily,Less often,9,2,10,0,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
77,Male,White (non-hispanic),29697,52,"With spouse, significant other, and/or children",1,0.5,85,Some college/associate's degree,A few times a month,About once a month,About once a month,Daily,1,0,3,0,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
77,Female,White (non-hispanic),15206,3,Living alone,5+,0,16,Some college/associate's degree,At least once a week,Less often,A few times a month,Less often,8,1,12,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
76,Male,White (non-hispanic),2673,25,"With spouse, significant other, and/or children",1,0,108,Some college/associate's degree,Less often,At least once a week,Less often,Less often,0,4,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
74,Female,White (non-hispanic),33462,17,Living alone,5+,0,25,Some college/associate's degree,At least once a week,A few times a month,About once a month,Less often,1,4,1,2,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
74,Male,White (non-hispanic),75657,12,"With spouse, significant other, and/or children",1,0,40,Some college/associate's degree,About once a month,At least once a week,At least once a week,Daily,0,2,4,0,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
74,Male,White (non-hispanic),32577,26,"With spouse, significant other, and/or children",1,5,115,Master's or post-graduate professional degree,At least once a week,A few times a month,About once a month,A few times a month,5,3,2,1,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
74,Female,White (non-hispanic),85120,32,"With spouse, significant other, and/or children",1,0,26,High school,About once a month,Less often,Less often,Less often,3,0,0,0,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
72,Male,White (non-hispanic),46628,3,"With spouse, significant other, and/or children",1,0,45,Four-year college,About once a month,Less often,At least once a week,Less often,0,0,1,0,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
72,Female,White (non-hispanic),2777,46,"With spouse, significant other, and/or children",1,0,42,Some college/associate's degree,At least once a week,A few times a month,Less often,Less often,5,3,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
72,Female,White (non-hispanic),3044,23,"With spouse, significant other, and/or children",1,0,76,Some college/associate's degree,Less often,At least once a week,Less often,Less often,0,1,3,0,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
71,Female,White (non-hispanic),33709,24,Living alone,1,0,50,Some college/associate's degree,At least once a week,A few times a month,A few times a month,Less often,1,2,2,0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
71,Male,"White (non-hispanic),American Indian or Alaska Native",32327,18,Living alone,1,0,14,High school,Less often,Less often,A few times a month,Less often,0,2,2,0,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
71,Male,White (non-hispanic),95662,21,Living alone,1,0,59,Some college/associate's degree,At least once a week,At least once a week,A few times a month,Less often,4,3,2,0,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
70,Female,White (non-hispanic),57476,5,"With spouse, significant other, and/or children",2,0.2,115,Four-year college,At least once a week,At least once a week,A few times a month,Daily,15,12,15,30,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
70,Male,White (non-hispanic),74136,23,Living alone,5+,0,42,Some college/associate's degree,At least once a week,At least once a week,Daily,Less often,2,7,8,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
70,Female,White (non-hispanic),55066,33,Living alone,1,0.3,40,Four-year college,Less often,At least once a week,At least once a week,Less often,0,4,1,0,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
70,Female,White (non-hispanic),17901,50,With other family,1,0,31,High school,At least once a week,At least once a week,At least once a week,Less often,2,2,2,0,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
70,Male,White (non-hispanic),20853,35,"With spouse, significant other, and/or children",1,0.4,80,Master's or post-graduate professional degree,At least once a week,At least once a week,At least once a week,Less often,2,15,8,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree
70,Female,White (non-hispanic),35216,2,Living alone,4,0,25,Some college/associate's degree,A few times a month,Daily,Daily,Less often,8 minutes,5 minutes,1 minute,0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree
70,Female,White (non-hispanic),44646,26,"With spouse, significant other, and/or children",2,0,17,Some high school or less,Less often,Less often,Less often,Less often,1,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree
70,Female,White (non-hispanic),29707,4,"With spouse, significant other, and/or children",1,0,125,Some college/associate's degree,At least once a week,Daily,Daily,Less often,3,12,45,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
69,Male,White (non-hispanic),52722,9,"With spouse, significant other, and/or children",5+,0,53,Four-year college,At least once a week,At least once a week,At least once a week,Daily,0,10,45,3,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
69,Female,White (non-hispanic),19107,3,Living alone,5+,0,69,Master's or post-graduate professional degree,Less often,At least once a week,About once a month,Less often,0,12,6,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
69,Female,White (non-hispanic),52627,44,"With spouse, significant other, and/or children",1,0,64,Some college/associate's degree,Daily,At least once a week,At least once a week,Less often,8,3,12,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
