Religion or spiritual tradition,Religion or spiritual tradition (other),Gender Identity,Gender Identity (not listed in survey),Race/Ethnicity**,Financial need level,Class Year Categories,School,1st Generation College,Federally Reported Race/Ethnicity,Sex,Have you ever sought any services provided by CAPS?,For which of the following reasons have you not sought services provided by CAPS?**,"Agreement with: ""I avoid consultations with CAPS because I am worried what I tell them might lead to negative academic repercussions""",For which of the following purposes would you feel comfortable utilizing CAPS?**,Which of the following CAPS services have you used?**,What was the outcome of your treatment at CAPS?,What was the outcome of your treatment at CAPS? (other),How many times did you visit CAPS?,In what school year(s) have you used or attempted to use CAPS?**,"Agreement with: ""CAPS was beneficial to my mental health""",Why did CAPS not have a beneficial effect on your mental health?**,Have you ever contacted the CAPS crisis support line?,You indicated that you have not contacted the CAPS crisis support line. Why?,You indicated that you have not contacted the CAPS crisis support line. Why? (other),Have you used the virtual support service TimelyCare?,"Agreement with: ""TimelyCare was beneficial for my mental health""","Agreement with: ""CAPS is committed to providing good quality treatment to students, regardless of their identity""","Agreement with: ""CAPS has the resources necessary to treat students of marginalized identities""","Agreement with: ""CAPS does their best to treat students of marginalized identities""",Which of the following sources have influenced your opinion about CAPS?**,"Which of the following resources, excluding CAPS, would you turn to if you were struggling with mental health?**","Which of the following are mental health and intervention offerings by Northwestern that you are aware of, if any?**","Which of the following would you consider to be your main source of community, support, and well-being?","Agreement with: ""I have been able to access meaningful mental health services provided to me by Northwestern""",Have you ever experienced a mental health issue that has impacted your academic performance at NU?,"Have you ever considered taking a medical leave of absence (""MLOA"") at Northwestern for mental health purposes?","Why did you not take a medical leave of absence (""MLOA"")? (if ""considered taking MLOA"" was selected)**",Which of the following identities best describes you?,"Agreement with: ""I feel comfortable expressing my religious or spiritual identity on campus""",In which of the following settings do you not feel comfortable expressing your religious or spiritual identity?**,"Agreement with: ""My professors treat my religion or spirituality with respect""","Agreement with: ""I have a space on campus where I can adequately practice my religion or spirituality""","Agreement with: ""I receive the academic accommodations that I need to account for my religious or spiritual restrictions""",What resources provided by Religious and Spiritual Life (RSL) are you aware of?**,"Agreement with: ""I would use a confidential conversation with a university chaplain for support""",Why would you not use a confidential conversation with a chaplain for support?**,"Agreement with: ""I would be more likely to consult with a university chaplain if they came from a secular background""",Do you identify as a first-generation student?,Do you identify as a low-income student?,"Agreement with: ""I feel supported by Student Enrichment Services (SES)""","Agreement with: ""I feel I have found a community on campus where I belong""","Agreement with: ""I feel like I am treated equally in the classroom, regardless of my socio-economic background""",Do you currently work a job on or off campus?,Hours per week you dedicate to non-paying student organizations,"Agreement with: ""Cost is something I consider when registering for classes""","Agreement with: ""I have financially struggled to purchase required books for classes""","Agreement with: ""I have financially struggled to purchase required technology for classes""",In what years during your time at Northwestern have you struggled financially to purchase required course materials?**
Jewish,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fifth Year +,Weinberg College of Arts & Sci,Not 1st Generation,White,Male,No,Haven't needed any CAPS services,Neither agree nor disagree,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Strongly agree,Neither agree nor disagree,Strongly agree,Personal experience with CAPS,"Friends,Family",No answer,"Friend Group,Family,Academic Cohort (people in your major, PA group, Peer-Guided Study group)",Strongly disagree,Yes,"Yes, and I have taken one.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Somewhat agree,No,No,No answer,Strongly disagree,No answer,"Yes, one",Between 1-5 hours,Strongly agree,Strongly agree,Strongly agree,"First year,Second year,Third year,Fourth year,Fifth year or later"
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Fifth Year +,School of Communication,Not 1st Generation,International,Male,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Agnostic,No answer,Cisgender woman,No answer,"Black or African-American (Examples: Jamaican, Nigerian, Haitian, Ethiopian),White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fifth Year +,Weinberg College of Arts & Sci,Not 1st Generation,Black or African American,Female,Yes,No answer,Neither agree nor disagree,"Coping with academic-related stress,Help with interpersonal relationships,Emergency mental health care,Counseling on a Medical Leave of Absence",Individual therapy at CAPS,I met with someone at CAPS for a short period of time and felt I no longer needed treatment.,No answer,Eleven or more times,"2018-2019,2019-2020",Strongly agree,No answer,No,I have not needed to,No answer,"No, unaware of this service",No answer,Strongly agree,Strongly agree,Strongly agree,"Personal experience with CAPS,Peer advisors and student mentors","Friends,Family,Faculty or academic advisors","Drop-In Hours at the Women's Center,NU Peer Support Group,ResilientNU,Appointment at CAPS",Friend Group,Somewhat agree,Yes,"Yes, although I did not take one.","I decided it was no longer necessary,Anxiety around falling behind academically,My family was unsupportive,I was concerned I would not be readmitted to Northwestern,I do not want to be distanced from my community at Northwestern",I am spiritual,Somewhat agree,No answer,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,"Drop-in meditation,Alice Millar Chapel Choir concerts",Strongly disagree,"I have other sources of support,I don't trust that the conversation would be truly confidential,I generally avoid religious institutions",Neither agree nor disagree,No,No,No answer,Somewhat disagree,No answer,"Yes, one",Between 6-10 hours,Somewhat agree,Somewhat disagree,Somewhat disagree,No answer
No answer,No answer,No answer,No answer,No answer,Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,Yes,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Agnostic,No answer,Cisgender woman,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",Not High Need 4+,Fourth Year,Weinberg College of Arts & Sci,Not 1st Generation,White,Female,No,"I am worried the wait time will be too long,I don't think CAPS has staff who can treat me,I have an external provider for mental and psychological health",Somewhat agree,"Emergency mental health care,Counseling on a Medical Leave of Absence",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Strongly disagree,Strongly disagree,Strongly disagree,"Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","CARE,Friends,outside therapist","Soldari-tea,Let's Talk,Drop-In Hours at CARE,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Student organization,Outside therapist",Somewhat disagree,Yes,"Yes, although I did not take one.","Lack of financial support if my MLOA was approved,Stigma related to MLOAs,Anxiety around falling behind academically,My family was unsupportive,I was concerned I would not be readmitted to Northwestern",I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,Drop-in meditation,Strongly disagree,"None of the chaplains reflect my identity,I have other sources of support,I generally avoid religious institutions,I did not know chaplain services existed at Northwestern",Neither agree nor disagree,No,Prefer not to answer,No answer,Neither agree nor disagree,No answer,No,More than 20 hours,Strongly disagree,Somewhat disagree,Strongly disagree,No answer
Baha'i,No answer,Not listed,Tranny,"Asian (Examples: Chinese, Japanese, Filipino, Korean, South Asian, Vietnamese)",Not High Need 4+,Fifth Year +,Weinberg College of Arts & Sci,Not 1st Generation,International,Male,No,"I am worried about cost,Expensive and useless",Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,Strongly disagree,Strongly agree,Strongly agree,"Friends,The people who work there seem mediocre at best",No answer,No answer,"Dorm/neighborhood,Student organization,Sports team",Strongly agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Somewhat disagree,In my student organizations,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No answer,Somewhat disagree,I did not know chaplain services existed at Northwestern,Strongly disagree,Yes,Yes,Strongly disagree,Somewhat agree,Somewhat agree,"Yes, one",Between 11-15 hours,Strongly disagree,Strongly disagree,Strongly disagree,No answer
Catholic,No answer,Cisgender man,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fifth Year +,School of Engineering,Not 1st Generation,Hispanic,Male,No,I am worried the wait time will be too long,Strongly disagree,"Coping with academic-related stress,Help with interpersonal relationships",No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,"No, unaware of this service",No answer,Somewhat agree,Somewhat disagree,Somewhat agree,Friends,"Student Enrichment Services (SES),Friends,Family","Soldari-tea,Appointment at CAPS",Friend Group,Neither agree or disagree,No,"No, I have never considered taking a medical leave of absence.",No answer,I am religious,Strongly agree,No answer,Strongly agree,Strongly agree,Strongly agree,"Weekly religious services,Drop-in meditation,Alice Millar Chapel Choir concerts",Neither agree nor disagree,No answer,No answer,No,Yes,Strongly agree,Somewhat agree,Strongly agree,"Yes, one",Between 6-10 hours,Strongly disagree,Strongly disagree,Somewhat disagree,No answer
Atheist,No answer,Non-binary / Non-conforming,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fourth Year,School of Engineering,Not 1st Generation,White,Female,Yes,No answer,Strongly disagree,No answer,External referral to non-CAPS provider,I met with someone at CAPS and then was referred to an outside care person.,No answer,Two to three times,"2019-2020,2021-2022",Neither agree nor disagree,No answer,No,I was worried that I or a friend would be transported to the hospital,No answer,No,No answer,Somewhat disagree,Somewhat disagree,Somewhat disagree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS),Social media and online platforms,Student publications","Friends,Family,Faculty or academic advisors","Let's Talk,Drop-In Hours at CARE,NU Peer Support Group,Active Minds,ResilientNU,Appointment at CAPS,Virtual appointment through TimelyCare","Friend Group,Family",Strongly agree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,"Weekly religious services,Alice Millar Chapel Choir concerts",Strongly disagree,"I have other sources of support,I generally avoid religious institutions",Somewhat agree,No,Yes,Strongly agree,Somewhat agree,Somewhat agree,"Yes, one",Between 1-5 hours,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No answer
Atheist,No answer,Transgender woman,No answer,"Hispanic or Latino (Examples: Puerto Rican, Mexican, Cuban, Salvadoran, Colombian),White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fourth Year,Weinberg College of Arts & Sci,First Generation College,Hispanic,Female,Yes,No answer,Somewhat disagree,No answer,"External referral to non-CAPS provider,Individual therapy at CAPS",The wait time for an initial consultation was too long so I did not follow through with the services.,No answer,Four to six times,"2019-2020,2020-2021",Strongly disagree,"The counseling I received did not adequately address my concerns or needs.,CAPS was not prepared to handle my specific need.,CAPS staff could not relate to my identities/experiences.,The wait was too long for me to follow through and receive help.",No,I have not needed to,No answer,No,No answer,Somewhat disagree,Strongly disagree,Somewhat disagree,"Personal experience with CAPS,Friends","Student organizations,Friends",Appointment at CAPS,Friend Group,Strongly disagree,Yes,"No, I have never considered taking a medical leave of absence.",No answer,I am neither religious nor spiritual,No answer,No answer,No answer,No answer,No answer,No answer,Strongly disagree,I generally avoid religious institutions,Strongly disagree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,"Yes, more than one",Between 1-5 hours,Strongly agree,Strongly agree,Strongly agree,"First year,Second year,Third year,Fourth year"
Catholic,No answer,Cisgender man,No answer,"White (Examples: German, Irish, English, Italian, Polish, French)",High Need 4+,Fifth Year +,School of Engineering,Not 1st Generation,White,Male,Yes,No answer,Somewhat disagree,Receiving a preliminary diagnosis,Crisis consultation,I met with someone at CAPS and then was referred to an outside care person.,No answer,Once,2018-2019,Somewhat agree,No answer,No,I have not needed to,No answer,"No, unaware of this service",No answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Personal experience with CAPS,Friends,Student advocacy groups (e.g. Reform CAPS)","Friends,Family","Drop-In Hours at CARE,Appointment at CAPS","Friend Group,Family",Somewhat disagree,Yes,"Yes, although I did not take one.","I had a lack of information and guidance about the MLOA process,I did but not through MLOA",I am religious,Somewhat disagree,"In classes or labs,In my student organizations",Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Weekly religious services,Strongly disagree,I have other sources of support,Somewhat agree,No,No,No answer,Somewhat agree,No answer,No,Less than 1 hour,Somewhat agree,Strongly agree,Somewhat agree,"First year,Second year,Third year,Fourth year,Fifth year or later"
